chinese	english
吕留良点头道：“听说湖州庄家花了几千两银子，从朱相国后人手中将明史原稿买了来，以己名刊行，不想竟然酿此大祸。”	Lü nodded: 'I heard somewhere that a member of the Zhuang family of Huzhou paid one of Chancellor Zhu's heirs a thousand taels of silver for the manuscript and published it under his own name— never dreaming, of course, that it would lead to such terrible consequences.'
它是不如她想象中的那样神奇，可正因为它的平常，便给她一个唾手可得的印象。 唾手可得的是什么？	It was not nearly as magical a place as she had imagined, yet because it appeared so ordinary it gave her the impression that it was within her grasp—but just what was it that she could grasp?
“那我们后面剩下的，就是扯淡了。” 大史插上一句，立刻遭到很多人的白眼。	'Then we have nothing more to discuss except bullshit,' said Da Shi. He was met with annoyed looks.
人保组的同志终于叫住了一个大嫂。	The security comrade finally stopped a woman.
就好像珍珠的芯子，其实是粗糙的沙粒，流言就是这颗沙粒一样的东西。	Like the center of a pearl—which is actually a rough grain of sand—coarse sand is the material of which gossip is made.
后来见过她这篇交待材料的人，一个个都面红耳赤，好像小和尚。	People who read this confession later all blushed too, like the little Buddha.
黎明前，路上很空，但他不敢开快，仿佛车开得快，倒计时走得也快。	Just before dawn, the roads were relatively empty. But he didn't dare to drive too fast, feeling that the faster the car moved, the faster the countdown would go.
一名俄罗斯军官说，“中子辐射不能瞬间致死，中子弹攻击后，船里敌人剩下的时间够开一次我们这样的会了。”	The speaker was a Russian officer. 'The radiation from a neutron bomb cannot kill right away. After a neutron bomb attack, the amount of time left to the enemy would be more than enough for them to have a meeting just like this one.'
奶奶心里又悲又苦，往常描绘好的、与戏台上人物同等模样、峨冠博带、儒雅风流的丈夫形象在泪眼里先模糊后漶灭。 奶奶恐怖地看到单家扁郎那张开花绽彩的麻风病人脸，奶奶透心地冰冷。	As she was gripped by sadness, the image of a learned and refined husband, handsome in his high-topped hat and wide sash, like a player on the stage, blurred and finally vanished, replaced by the horrifying picture of Shan Bianlang's face, his leprous mouth covered with rotting tumours. Her heart turned to ice.
奶奶不管她的胡言乱语的爹，骗腿上了驴，把一张春风漫卷过的粉脸对着道路南侧的高粱地。	Ignoring his mumbling, she swung her leg over the donkey's back and turned her face, brushed by the winds of spring, towards the sorghum field south of the road.
你既大远的来了，又是头一遭儿和我张个口，怎么叫你空回去呢?	However, since you have come such a long way, and since this is the first time you have ever said a word about needing help, we obviously can't let you go back empty-handed.
用她原话来说就是：你们两个混蛋什么干不出来。	In her words, 'There's nothing you pair of jerks wouldn't do.'
那时节有一个北京知青慰问团要来调查知青在下面的情况，尤其是有无被捆打逼婚等情况，因此队长更不乐意想起我来。	It just so happened that at the time a relief delegation from Beijing was coming to investigate how the city students were treated in the countryside, especially whether any had been tied up, beaten, or forced to marry the locals. Because of this, the team leader was even more unwilling to remember me.
“我们马上就能知道！” 沙瑞山说着，在另外两台终端上快速操作起来。 很快，他调出了另外两颗卫星WMAP和Planck的宇宙背景辐射实时数据，并将其变化显示为曲线——	'We'll know soon enough,' Sha said. He went to the other two terminals and typed rapidly to bring up the data gathered by the other two satellites, WMAP and Planck.
只见周瑞家的回来，向凤姐道：“太太说：‘今日不得闲儿，二奶奶陪着也是一样，多谢费心想着。	At this point Zhou Rui's wife returned with a message for Xi-feng. 'Her Ladyship says she isn't free today, but that if you will entertain them for her, it will be just the same as if she were to receive them herself. She says please thank them very much for coming.
谁让你出生在旧中国那样一个显赫的家庭，你父母又都是那么著名的学者。	You can't overcome the fault of being born to a prominent family in pre-revolutionary China and of having such famous scholars as parents.
爷爷坐了片刻，像半堵墙样往后倒去。 父亲把头伏在爷爷的肚子上，朦胧入睡。	After sitting there for a moment, Granddad fell backward like a capsized wall, and Father laid his head on Granddad's belly, where he fell into a hazy sleep.
“我是从孙子的电脑上偶然看到它的，”老哲学家翘着烟斗柄说，“年轻人玩了几下就放弃了，说太深奥。	'I saw it by accident on my grandson's computer,' the old philosopher said, lifting his pipe stem. 'The young man abandoned it after a few tries, saying it was too abstruse.
说到这里，突然惊觉不对，自己曾对天地会的人说，茅十八和自己是给鳌拜擒去的，这会儿却说给海老公擒进宫去，岂不是前言不对后语？	He suddenly realized that this flatly contradicted what he had said previously. He had told the Triad members that he and Mao Eighteen had been captured and taken into the Palace by Oboi.
总舵主纵然博知广闻，“老乌龟”是谁，却也不知，问道：“老乌龟？”	'The Old Devil?' The Helmsman's vast knowledge did not encompass any practitioner with that nom de guerre.
汪淼说着发动了车子。	Wang started the engine.
亏了绊住，不然，早就飞了来了。”	'I thought something must have been detaining you. Otherwise you would have come flying here long since.'
那男孩见他突然现身，脸上又缠了白布，微微一惊，但听他说来陪自己玩，登时脸现喜色，道：“好，你上来！”	The other boy's first reaction was one of alarm, at the sight of this strange apparition with its head swathed in bandages. But alarm quickly turned to delight when he realized that he had found a sparring partner. 'Very well!' he replied. 'On guard!'
程先生觉着自己像躺在水里似的。	Bathed in the moonlight, Mr. Cheng had the sensation that he was lying in water.
余占鳌看看死人，又看看活人，一语不发。	Yu Zhan'ao looked wordlessly first at the dead, then at the living.
那贾芸一面走，一面拿眼把小红一溜；那小红只装着和坠儿说话，也把眼去一溜贾芸：四目恰好相对。 小红不觉把脸一红，一扭身往蘅芜院去了。	His eyes sought Crimson's; and hers, as she made pretence of conversing with Trinket, sought his. Their two pairs of eyes met and briefly skirmished; then Crimson felt herself blushing, and turning away abruptly, she made off for Allspice Court.
杀人如麻的爷爷，打死“痨痨四”之后，左轮手枪掉在地上，他的胳膊像死蛇一样垂着，再也无力抬起来了。	Though killing had become a way of life for Granddad, he dropped his arm to his side and let it hang there like a dead snake; the pistol fell to the ground.
化妆室的光是充足的平均分配的光，没有抑扬顿挫，看上去都有些平铺直叙的。	The harsh, unmodulated light of the dressing room made everything appear commonplace.
